Quarto,Patrimônio,Número,Estado
201,Cadeira,2023000202,Bom
201,Geladeira,362006,Bom
201,Cadeira,295608,Ruim
202,Cadeira,2023000195,Bom
202,Geladeira,2022002545,Bom
202,Purificador,SEM PLAQUETA,Bom
203,Purificador,2022000681,Bom
203,Geladeira,2025001281,Bom
203,Cadeira,2023000220,Bom
204,Geladeira,2025001282,Bom
204,Purificador,2022000676,Bom
204,Cadeira,2023000194,Bom
205,Geladeira,362208,Bom
205,Purificador,2022000683,Bom
205,Cadeira,Sem plaqueta,Bom
206,Cadeira,2023000222,Bom
206,Cadeira,219466,Ruim
206,Geladeira,2022002547,Bom
206,Purificador,350264,Bom
207,Geladeira,Sem plaqueta,Ruim
207,Purificador,SEM PLAQUETA,Bom
207,Cadeira,2023000258,Bom
208,Geladeira,2025001287,Bom
208,Cadeira,2023000216,Ruim
208,Purificador,1664774,Ruim
209,Cadeira,2023000251,Inservível
209,Purificador,SEM PLAQUETA,Inservível
209,Geladeira,2025001280,Bom
210,Purificador,sem plaqueta,Ruim
210,Geladeira,sem plaqueta,Bom
210,Roteador,sem plaqueta,Bom
211,Cadeira,2023000256,Bom
211,Geladeira,2025001284,Bom
211,Purificador,202200673,Bom
212,Cadeira,Sem Plaqueta,Ruim
212,Estante de Metal Azul,Sem Plaqueta ,Inservível
212,Geladeira,Sem Plaqueta ,Bom
212,Purificador,Ssm Plaqueta,Bom
212,Roteador,Sem Plaqueta,Ruim
301,Geladeira,Sem plaqueta,Bom
301,Purificador,2022000675,Bom
301,Estante de Metal Azul,371329,Bom
301,Cadeira,2023000218,Bom
301,Roteador,Sem plaqueta,Ruim
302,Geladeira,2025001286,Bom
302,Cadeira,295634,Ruim
302,Purificador,350284,Ruim
302,Roteador,2019004574,Inservível
303,Cadeira,2023000236,Bom
303,Geladeira,2022002546,Bom
304,Purificador,Sem plaqueta,Ruim
304,Geladeira,362205,Bom
304,Cadeira,Sem plaqueta,Bom
305,Cadeira,2023000262,Ruim
305,Roteador,20199004575,Bom
305,Geladeira,362207,Bom
306,Cadeira,2023000221,Bom
306,Geladeira,2022002548,Bom
306,Purificador,350277,Bom
306,Cadeira,SEM PLAQUETA,Bom
307,Cadeira,Sem plaqueta,Bom
307,Geladeira,301331,Ruim
308,Purificador,2022000679,Ruim
308,Cadeira,SEM PLAQUETA,Ruim
308,Roteador,2019004576,Ruim
309,Geladeira,Sem Plaqueta,Bom
309,Purificador,Sem Plaqueta,Bom
309,Cadeira,Sem Plaqueta,Bom
309,Cadeira,Sem Plaqueta,Bom
309,Geladeira,Sem Plaqueta,Bom
309,Purificador,Sem Plaqueta,Bom
311,Cadeira,2023000250,Bom
311,Estante de Metal Azul,SEM PLAQUETA,Bom
311,Geladeira,2022002549,Bom
311,Purificador,2022000685,Bom
311,Roteador,2019004577,Bom
312,Cadeira,2023000215,Bom
312,Estante de Metal Azul,SEM PLAQUETA,Bom
312,Geladeira,2022002541,Bom
312,Purificador,Sem plaqueta,Ruim
