nome;nome_sistema;tombamento;ano;local_sistema;local_exato_ambiente;condicao
Mesa ;MESA DE MADEIRA SEM GAVETA;185;Anterior a 2019;DIBEM;;Pendente
Mesa 02;MESA DE MADEIRA COM 02 GAVETAS;186;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;193;Anterior a 2019;DIBEM;Residência 1601;Ruim
Mesa 02;MESA DE MADEIRA COM 02 GAVETAS;194;Anterior a 2019;DIBEM;Residência 148;Ruim
Mesa ;MESA DE MADEIRA SEM GAVETA;195;Anterior a 2019;DIBEM;Residência 25;Ruim
Mesa ;MESA DE MADEIRA SEM GAVETA;200;Anterior a 2019;DIBEM;;Pendente
Mesa 03;MESA DE MADEIRA COM 03 GAVETAS;616;Anterior a 2019;DIBEM;;Pendente
Caixa De Som;CAIXA DE SOM;2295;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;5515;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;5835;Anterior a 2019;DIBEM;;Pendente
Estante De Madeira Aberta Com Prateleiras;ESTANTE DE MADEIRA ABERTA COM PRATELEIRAS;8710;Anterior a 2019;PRAE;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;8758;Anterior a 2019;DIBEM;Residencia 2216;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;8777;Anterior a 2019;DIBEM;Residencia 2216;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;9062;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA PARA TELEFONE;10044;Anterior a 2019;CRU;;Pendente
Escaninho ( Papeleira ) Com Gavetas;ESCANINHO ( PAPELEIRA ) COM GAVETAS;10046;Anterior a 2019;PRAE;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10073;Anterior a 2019;DIBEM;Residência 25;Inservível
Armario De Madeira Com Portas De Abrir;ARMARIO DE MADEIRA COM PORTAS DE ABRIR;10084;Anterior a 2019;PRAE;;Pendente
Estante De Madeira Aberta Com Prateleiras;ESTANTE DE MADEIRA ABERTA COM PRATELEIRAS;10091;Anterior a 2019;DIBEM;;Pendente
Cadeira De Ferro;CADEIRA DE FERRO;10105;Anterior a 2019;CAME;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10107;Anterior a 2019;CAME;;Pendente
Mocho Odontologico;MOCHO ODONTOLOGICO;10121;Anterior a 2019;CAME;;Pendente
Fichario De Aco Com Tampo De Acrilico;FICHARIO DE ACO COM TAMPO DE ACRILICO;10136;Anterior a 2019;CAME;;Pendente
Mocho Odontologico;MOCHO ODONTOLOGICO;10168;Anterior a 2019;CAME;;Pendente
Mesa ;MESA DE ACO PARA AMBULATORIO;10171;Anterior a 2019;CAME;;Pendente
Mesa ;MESA DE ACO;10185;Anterior a 2019;CAME;;Pendente
Escada De Ferro Com 02 Degraus Para Cama Hospitala;ESCADA DE FERRO COM 02 DEGRAUS PARA CAMA HOSPITALA;10186;Anterior a 2019;CAME;;Pendente
Beliche De Aco;BELICHE DE ACO;10267;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;10284;Anterior a 2019;DIBEM;;Pendente
Mesa ;MESA DE MADEIRA SEM GAVETA;10322;Anterior a 2019;DIBEM;Residência 25;Bom
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10331;Anterior a 2019;DIBEM;;Pendente
Cadeira De Madeira Com Assento E Encosto Anatomico;CADEIRA DE MADEIRA COM ASSENTO E ENCOSTO ANATOMICO;10342;Anterior a 2019;DIBEM;Residencia 2216;Bom
